machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,clang,0,1,hyper,1,q1 hyper,4151.695,26071.34,0.0,0.0,348356.0,68766328175.0,276365252028.0,,51161827.0,133887528246.0,1113051605.0,2111844027.0,2107726255.0,40223384988.0,196831.0,134435024139.0,37308594.0,2936281233.0,1933.0,,
parmesan,clang,0,1,vectorwise,1,q1 vectorwise,8792.609,53924.03,0.0,0.0,348275.0,146648727132.0,447875167779.0,,91238397.0,201023077695.0,1368688102.0,2126205303.0,2121529875.0,74472710820.0,427561.0,200552473471.0,48569093.0,5349619795.0,1426.0,,
parmesan,gcc,0,1,vectorwise,1,q1 vectorwise,8796.213,53938.36,0.0,0.0,348273.0,146570013421.0,447515390780.0,,89255434.0,200894103728.0,1371921616.0,2126789745.0,2123480713.0,74435665818.0,430148.0,200713254963.0,46468157.0,5336231088.0,2088.0,,
parmesan,gcc,0,1,hyper,1,q1 hyper,4143.253,26017.42,0.0,0.0,348436.0,68661836766.0,276548641591.0,,51208625.0,133984859039.0,1111781143.0,2111207973.0,2106975196.0,40197866697.0,225701.0,134389197637.0,36896013.0,2920969272.0,2472.0,,
parmesan,clang,0,1,vectorwise,2,q1 vectorwise,4420.292,54444.5,0.0,0.0,358776.0,147232813686.0,446666107797.0,,91642724.0,200350931204.0,1397659890.0,2181616127.0,2180988615.0,74135069921.0,484711.0,201526168220.0,55620767.0,5387822577.0,3446.0,,
parmesan,clang,0,1,hyper,2,q1 hyper,2070.788,26021.54,0.0,0.0,348311.0,68836256193.0,276867215420.0,,51140121.0,133593569581.0,1109428308.0,2102009448.0,2098544247.0,39812034412.0,105451.0,133249496249.0,37438729.0,2943219409.0,1220.0,,
parmesan,gcc,0,1,hyper,2,q1 hyper,2068.34,25999.1,0.0,0.0,348309.0,68585961658.0,276188241784.0,,51052537.0,133408801787.0,1110673912.0,2103192068.0,2102063438.0,39758914025.0,103382.0,133510539193.0,37453005.0,2944662529.0,3058.0,,
parmesan,gcc,0,1,vectorwise,2,q1 vectorwise,4423.172,54411.6,0.0,0.0,359103.0,147176091501.0,446880917229.0,,90259479.0,200124115186.0,1381430348.0,2182868372.0,2182247453.0,74496815722.0,463814.0,201509449747.0,55812664.0,5383218918.0,4518.0,,
parmesan,clang,0,1,hyper,3,q1 hyper,1380.379,26032.4,0.0,0.0,348369.0,68526273535.0,275894426751.0,,50713651.0,132595862353.0,1099984339.0,2096965090.0,2096470005.0,40241022155.0,131523.0,134669905860.0,37301459.0,2938561563.0,5827.0,,
parmesan,clang,0,1,vectorwise,3,q1 vectorwise,2953.523,54481.95,0.0,0.0,357532.0,147370037544.0,447116305371.0,,91253051.0,200370526960.0,1361323618.0,2192755853.0,2191038628.0,74070547382.0,507519.0,200705550887.0,46421041.0,5368230026.0,2575.0,,
parmesan,gcc,0,1,vectorwise,3,q1 vectorwise,2945.674,54400.1,0.0,0.0,357496.0,146582063605.0,446807656068.0,,90898180.0,200774597613.0,1358354614.0,2193967335.0,2189732345.0,74165790391.0,507740.0,200322524929.0,48307744.0,5385771590.0,1094.0,,
parmesan,gcc,0,1,hyper,3,q1 hyper,1379.051,25996.79,0.0,0.0,348369.0,68490354746.0,276017472008.0,,50731742.0,132776425531.0,1092634300.0,2099680041.0,2098169014.0,40227086691.0,152490.0,134626325722.0,37470880.0,2935441116.0,5953.0,,
parmesan,clang,0,1,hyper,4,q1 hyper,1038.019,26114.51,0.0,0.0,348428.0,68730747594.0,276108060991.0,,50471705.0,132311152102.0,1100025088.0,2092696998.0,2091232985.0,40221816030.0,157291.0,134528529979.0,37361656.0,2936549871.0,7667.0,,
parmesan,clang,0,1,vectorwise,4,q1 vectorwise,2214.599,54515.09,0.0,0.0,362718.0,147465642042.0,447077360830.0,,90190943.0,200406501894.0,1387817286.0,2186430804.0,2173398489.0,73997906367.0,519344.0,200079805566.0,45717269.0,5375923151.0,5868.0,,
parmesan,gcc,0,1,vectorwise,4,q1 vectorwise,2212.791,54469.71,0.0,0.0,357014.0,147268860810.0,446857300188.0,,90931682.0,200496756201.0,1372844488.0,2176692912.0,2176244888.0,73998836245.0,503530.0,200262800503.0,46268679.0,5438440802.0,5869.0,,
parmesan,gcc,0,1,hyper,4,q1 hyper,1035.6,26037.56,0.0,0.0,348424.0,67900882298.0,273899383903.0,,50696775.0,132975129513.0,1099884135.0,2111095189.0,2106244805.0,40128243838.0,159304.0,134300257058.0,37399950.0,2915631342.0,3087.0,,
parmesan,clang,0,1,vectorwise,5,q1 vectorwise,1769.127,54400.44,0.0,0.0,350090.0,146882757662.0,446786724037.0,,90500372.0,200783910538.0,1376612085.0,2191047990.0,2187689257.0,74141406634.0,477278.0,200385404381.0,45341117.0,5345132175.0,3970.0,,
parmesan,clang,0,1,hyper,5,q1 hyper,827.897,26021.5,0.0,0.0,348489.0,68477639463.0,276648099306.0,,51172993.0,134052018026.0,1106304516.0,2106425207.0,2099945376.0,40047951456.0,156454.0,134305718281.0,37155449.0,2916751653.0,6404.0,,
parmesan,gcc,0,1,hyper,5,q1 hyper,830.534,26104.7,0.0,0.0,348484.0,68390695906.0,275366115250.0,,50938482.0,133731431599.0,1107818676.0,2111001215.0,2104547257.0,39810278657.0,147757.0,134347564291.0,37627304.0,2932083492.0,6429.0,,
parmesan,gcc,0,1,vectorwise,5,q1 vectorwise,1768.167,54398.57,0.0,0.0,349870.0,146859743124.0,446693392623.0,,91195801.0,200821801741.0,1372599428.0,2191071854.0,2187307027.0,74240007703.0,478517.0,200399932509.0,45747776.0,5374414354.0,3713.0,,
parmesan,clang,0,1,hyper,6,q1 hyper,691.93,26143.32,0.0,0.0,348546.0,67833294254.0,272478119779.0,,50445071.0,132423153675.0,1099645696.0,2108781877.0,2104204219.0,40168400770.0,142103.0,134295816824.0,37524807.0,2961966378.0,6553.0,,
parmesan,clang,0,1,vectorwise,6,q1 vectorwise,1474.357,54416.47,0.0,0.0,352856.0,147177506874.0,447609665790.0,,90767528.0,200783762407.0,1375102327.0,2190956452.0,2186450192.0,74440984463.0,455603.0,201304115960.0,44782215.0,5353349413.0,5172.0,,
parmesan,gcc,0,1,vectorwise,6,q1 vectorwise,1477.444,54530.7,0.0,0.0,352617.0,147012336425.0,446224187399.0,,90007241.0,200694732173.0,1392792403.0,2192063887.0,2187253492.0,74368426993.0,481624.0,201301733239.0,44902590.0,5434806824.0,9464.0,,
parmesan,gcc,0,1,hyper,6,q1 hyper,692.92,26124.53,0.0,0.0,348548.0,67893862289.0,273098159183.0,,50599354.0,132532874263.0,1106758272.0,2108550605.0,2103017312.0,40132241372.0,150754.0,134300863241.0,38143068.0,2869314163.0,6518.0,,
parmesan,clang,0,1,vectorwise,7,q1 vectorwise,1265.191,54462.88,0.0,0.0,350382.0,147354592276.0,447077609902.0,,90263266.0,200571469655.0,1370804539.0,2170376012.0,2169721677.0,73617179461.0,518203.0,199618099508.0,44607673.0,5424061974.0,9514.0,,
parmesan,clang,0,1,hyper,7,q1 hyper,592.611,26124.32,0.0,0.0,348592.0,68994016323.0,278427154787.0,,50858902.0,133250907804.0,1090535824.0,2088861326.0,2073171040.0,39914862362.0,191006.0,134794733766.0,37675341.0,2955710314.0,10641.0,,
parmesan,gcc,0,1,hyper,7,q1 hyper,591.85,26048.9,0.0,0.0,348603.0,68673867941.0,276034089585.0,,50903818.0,133151786692.0,1098131417.0,2081227950.0,2085768755.0,39964158445.0,188317.0,134878517358.0,37672394.0,2928778226.0,7295.0,,
parmesan,gcc,0,1,vectorwise,7,q1 vectorwise,1266.061,54487.95,0.0,0.0,350508.0,147422274021.0,447147568467.0,,90365580.0,200476263288.0,1383260520.0,2163788942.0,2164343317.0,73540344277.0,508879.0,199533110545.0,44564608.0,5414740585.0,9098.0,,
parmesan,clang,0,1,hyper,8,q1 hyper,518.552,26077.69,0.0,0.0,348669.0,68436414018.0,276342854186.0,,51199671.0,134278488404.0,1118853577.0,2108728131.0,2100885828.0,39659258403.0,212144.0,132833414254.0,37220080.0,2901397111.0,7176.0,,
parmesan,clang,0,1,vectorwise,8,q1 vectorwise,1109.263,54634.42,0.0,0.0,356688.0,145853510050.0,442395513624.0,,90043812.0,199005803010.0,1392299519.0,2176461445.0,2186639297.0,74491116787.0,494361.0,201330737461.0,44551533.0,5435062370.0,10375.0,,
parmesan,gcc,0,1,vectorwise,8,q1 vectorwise,1107.66,54533.7,0.0,0.0,361564.0,145757005843.0,443010973202.0,,89997488.0,199301560674.0,1375802186.0,2179979134.0,2187234940.0,74563329981.0,501746.0,201332033828.0,44490738.0,5413788679.0,10660.0,,
parmesan,gcc,0,1,hyper,8,q1 hyper,518.174,26060.92,0.0,0.0,348665.0,68439045048.0,276574763016.0,,51227994.0,134244914247.0,1120637863.0,2108325860.0,2100515285.0,39681495247.0,175075.0,132873547579.0,37244936.0,2905290946.0,7190.0,,
parmesan,clang,0,1,vectorwise,9,q1 vectorwise,984.859,54508.31,0.0,0.0,351112.0,146914928195.0,446681591331.0,,91123242.0,200848439843.0,1381389243.0,2190199033.0,2186165296.0,74482933355.0,526267.0,201357763962.0,43777459.0,5375030890.0,6263.0,,
parmesan,clang,0,1,hyper,9,q1 hyper,460.865,26073.42,0.0,0.0,348758.0,67796437782.0,273677924962.0,,50643871.0,133858277494.0,1110588551.0,2104717143.0,2100177480.0,40065316715.0,209543.0,133511373413.0,36927055.0,2861539409.0,5248.0,,
parmesan,gcc,0,1,hyper,9,q1 hyper,461.661,26114.95,0.0,0.0,348749.0,67779297126.0,273057868466.0,,50605548.0,133891679593.0,1109448751.0,2105461711.0,2099403698.0,40052768149.0,196674.0,133495444985.0,36872526.0,2857681297.0,4986.0,,
parmesan,gcc,0,1,vectorwise,9,q1 vectorwise,985.179,54533.82,0.0,0.0,351249.0,146878207150.0,446258061806.0,,90801727.0,200720926884.0,1378789208.0,2192749955.0,2188598844.0,74563906358.0,520657.0,201344910614.0,43834187.0,5401681550.0,11352.0,,
parmesan,clang,0,1,hyper,10,q1 hyper,414.188,26090.6,0.0,0.0,348807.0,68585340897.0,276152932192.0,,50949025.0,133541807625.0,1086785928.0,2084419498.0,2088340689.0,39705015788.0,153519.0,133663051751.0,38251036.0,2935846824.0,13763.0,,
parmesan,clang,0,1,vectorwise,10,q1 vectorwise,889.071,54692.25,0.0,0.0,351988.0,147972837807.0,447204678013.0,,90586492.0,197549191900.0,1381863102.0,2152104386.0,2153790119.0,73381050048.0,561639.0,201793039431.0,44245231.0,5421398936.0,12025.0,,
parmesan,gcc,0,1,vectorwise,10,q1 vectorwise,886.833,54527.76,0.0,0.0,351581.0,147421608178.0,447289676316.0,,90882853.0,197299179092.0,1364879486.0,2159505906.0,2160804863.0,74621411766.0,496825.0,201597177190.0,43734246.0,5440907728.0,12918.0,,
parmesan,gcc,0,1,hyper,10,q1 hyper,414.456,26049.26,0.0,0.0,348823.0,68571027165.0,276257130599.0,,50874649.0,131526132634.0,1088595163.0,2090365951.0,2094734489.0,39836199352.0,160783.0,133588810670.0,37986876.0,2935538027.0,14582.0,,
parmesan,clang,0,1,hyper,11,q1 hyper,380.748,26313.68,0.0,0.0,348893.0,69455603429.0,276807619661.0,,50248947.0,131999440800.0,1145008859.0,2098189524.0,2101411355.0,40151538995.0,199033.0,134605638547.0,37911026.0,2937403986.0,5937.0,,
parmesan,clang,0,1,vectorwise,11,q1 vectorwise,807.954,54654.26,0.0,0.0,353516.0,147983228089.0,447800255689.0,,90258765.0,200489388361.0,1387455793.0,2186005904.0,2183808882.0,72909588849.0,552789.0,198214574899.0,43629958.0,5371071441.0,22922.0,,
parmesan,gcc,0,1,vectorwise,11,q1 vectorwise,807.747,54636.68,0.0,0.0,353571.0,147905251144.0,447658137611.0,,90505840.0,200447125104.0,1385898211.0,2185971165.0,2183766667.0,73007042298.0,504127.0,198469801373.0,44171734.0,5364881015.0,20459.0,,
parmesan,gcc,0,1,hyper,11,q1 hyper,376.697,26045.25,0.0,0.0,348875.0,67971515117.0,275029978809.0,,50962025.0,133934451661.0,1107029634.0,2104590781.0,2099928273.0,40074222968.0,185725.0,134403629285.0,36919485.0,2879471249.0,1096.0,,
parmesan,clang,0,1,vectorwise,12,q1 vectorwise,739.973,54936.29,0.0,0.0,353677.0,148422687714.0,452795467228.0,,90033290.0,201013038742.0,1364908037.0,2128019270.0,2138170551.0,75399902386.0,467516.0,202524824826.0,43913038.0,5436330719.0,15210.0,,
parmesan,clang,0,1,hyper,12,q1 hyper,347.051,26212.42,0.0,0.0,348939.0,68114841514.0,273890456803.0,,51059742.0,133529923042.0,1117808729.0,2101929073.0,2097789072.0,40165603177.0,150213.0,129595098875.0,36973687.0,2860970635.0,12399.0,,
parmesan,gcc,0,1,hyper,12,q1 hyper,345.875,26092.28,0.0,0.0,348948.0,68173097866.0,277005538404.0,,51083001.0,133750678649.0,1089760378.0,2103450190.0,2098749750.0,39885775100.0,195359.0,130115275145.0,37149396.0,2877667105.0,13931.0,,
parmesan,gcc,0,1,vectorwise,12,q1 vectorwise,740.39,54632.1,0.0,0.0,353677.0,144942166797.0,439926112161.0,,87994921.0,196723362024.0,1374774123.0,2191186675.0,2191603628.0,74561613549.0,491375.0,201607365851.0,44194054.0,5347718419.0,18077.0,,
parmesan,clang,0,1,vectorwise,13,q1 vectorwise,682.835,54606.98,0.0,0.0,352583.0,147589191842.0,447474476491.0,,90691651.0,200532640253.0,1374052623.0,2166174364.0,2168836506.0,73918427818.0,557543.0,200627959397.0,44588180.0,5425832889.0,19140.0,,
parmesan,clang,0,1,hyper,13,q1 hyper,320.274,26173.67,0.0,0.0,349039.0,69007821945.0,278173314452.0,,51349123.0,133954995918.0,1122252492.0,2105530601.0,2097931900.0,39680824236.0,201162.0,126542974835.0,36687442.0,2805918258.0,12208.0,,
parmesan,gcc,0,1,hyper,13,q1 hyper,319.424,26082.41,0.0,0.0,349016.0,69019222578.0,277730962629.0,,51269118.0,133877071236.0,1089445018.0,2103082690.0,2097308531.0,39656121482.0,222481.0,127187558040.0,36878524.0,2819405916.0,15302.0,,
parmesan,gcc,0,1,vectorwise,13,q1 vectorwise,683.169,54611.48,0.0,0.0,352459.0,147616365728.0,447498115257.0,,90332882.0,200565849537.0,1379612122.0,2171964919.0,2172972853.0,73981664427.0,583932.0,200704348384.0,44127304.0,5409591475.0,19179.0,,
parmesan,clang,0,1,vectorwise,14,q1 vectorwise,634.302,54605.12,0.0,0.0,354083.0,147954103890.0,448244165486.0,,90487275.0,200486755289.0,1377960901.0,2182026621.0,2181234924.0,73812209026.0,567228.0,200627052750.0,43767594.0,5421127778.0,5292.0,,
parmesan,clang,0,1,hyper,14,q1 hyper,297.101,26113.96,0.0,0.0,349102.0,67261042801.0,272201142862.0,,50592306.0,133042462941.0,1096619566.0,2109829150.0,2100815032.0,39749919840.0,205455.0,134199261868.0,37920215.0,2941389471.0,11825.0,,
parmesan,gcc,0,1,hyper,14,q1 hyper,298.914,26270.66,0.0,0.0,349080.0,69266585534.0,276848650467.0,,50106651.0,132033383619.0,1106974591.0,2103236238.0,2106748229.0,39939963381.0,206997.0,134329086515.0,38069547.0,2942144970.0,20834.0,,
parmesan,gcc,0,1,vectorwise,14,q1 vectorwise,634.093,54603.29,0.0,0.0,354199.0,147704411806.0,447699357128.0,,90498095.0,200291331676.0,1374872668.0,2184517845.0,2159981001.0,73826585891.0,581991.0,200963282344.0,43347760.0,5429135997.0,15054.0,,
parmesan,clang,0,1,vectorwise,15,q1 vectorwise,592.157,54625.1,0.0,0.0,353113.0,142979337129.0,441573607044.0,,89679582.0,199185497248.0,1374893730.0,2186277943.0,2188201613.0,74410957162.0,551655.0,200722368438.0,44026414.0,5405038330.0,824.0,,
parmesan,clang,0,1,hyper,15,q1 hyper,276.441,26044.82,0.0,0.0,349134.0,68583667547.0,276477723595.0,,48596805.0,127725286660.0,1052510091.0,2033914694.0,2039714961.0,40171080744.0,248700.0,134692519207.0,37766278.0,2940546067.0,24581.0,,
parmesan,gcc,0,1,hyper,15,q1 hyper,278.258,26201.94,0.0,0.0,349147.0,68916468109.0,275893511818.0,,48125287.0,126622941162.0,1054585322.0,2016251997.0,2023535683.0,40358320190.0,225889.0,134923285880.0,38032818.0,2959199233.0,26700.0,,
parmesan,gcc,0,1,vectorwise,15,q1 vectorwise,592.13,54609.56,0.0,0.0,352974.0,142974368323.0,442155876837.0,,89664195.0,199328728889.0,1371883978.0,2186841670.0,2187674071.0,74304457865.0,552327.0,200683197005.0,43952110.0,5392654150.0,991.0,,
parmesan,clang,0,1,hyper,16,q1 hyper,261.837,26316.35,0.0,0.0,349221.0,68610527422.0,275483235427.0,,50978776.0,133721958582.0,1115160035.0,2102031653.0,2097428291.0,40142048095.0,299752.0,134710521956.0,36539740.0,2859692828.0,9747.0,,
parmesan,clang,0,1,vectorwise,16,q1 vectorwise,556.594,54829.97,0.0,0.0,364918.0,146981407279.0,446302069685.0,,90685242.0,201087986727.0,1396121845.0,2186930870.0,2180993339.0,74092065881.0,800138.0,199687741555.0,43014982.0,5353190782.0,4512.0,,
parmesan,gcc,0,1,vectorwise,16,q1 vectorwise,555.229,54717.5,0.0,0.0,364384.0,146686597285.0,446231738749.0,,90682300.0,201045416568.0,1381068893.0,2188694151.0,2182042228.0,74049653026.0,771608.0,199735614961.0,43016646.0,5339090822.0,4566.0,,
parmesan,gcc,0,1,hyper,16,q1 hyper,262.187,26327.53,0.0,0.0,349207.0,68824767534.0,275932892421.0,,51182331.0,133777914529.0,1148617677.0,2103609465.0,2101523280.0,40183840845.0,254054.0,131426887051.0,36758670.0,2871652159.0,10066.0,,
parmesan,clang,0,1,hyper,17,q1 hyper,246.27,26287.91,0.0,0.0,349347.0,69061100266.0,275644364952.0,,47497976.0,125203999759.0,1112308750.0,2093390228.0,2103510723.0,40354624243.0,319357.0,134980211951.0,38322035.0,2922340640.0,18637.0,,
parmesan,clang,0,1,vectorwise,17,q1 vectorwise,523.182,54718.55,0.0,0.0,357683.0,147809524083.0,448546819009.0,,90853868.0,200734241255.0,1376447381.0,2183538276.0,2178327379.0,74449070176.0,521021.0,198577393499.0,42982735.0,5379526870.0,12151.0,,
parmesan,gcc,0,1,vectorwise,17,q1 vectorwise,523.251,54699.23,0.0,0.0,357705.0,147627843554.0,448624771815.0,,90074252.0,200632513926.0,1378471074.0,2183028483.0,2179506045.0,74523593450.0,527840.0,198609510135.0,42911591.0,5363532328.0,10660.0,,
parmesan,gcc,0,1,hyper,17,q1 hyper,245.198,26159.8,0.0,0.0,349347.0,63857990172.0,257944514636.0,,47882710.0,131822793959.0,1111701010.0,2111089935.0,2110774895.0,40298695414.0,306829.0,133930808010.0,38060362.0,2913901364.0,10182.0,,
parmesan,clang,0,1,hyper,18,q1 hyper,232.751,26308.17,0.0,0.0,349382.0,67808890633.0,274260066695.0,,51133879.0,133650105530.0,1157267757.0,2101576831.0,2096649104.0,40043131631.0,228851.0,127153446483.0,37051427.0,2827579978.0,14915.0,,
parmesan,clang,0,1,vectorwise,18,q1 vectorwise,494.427,54700.15,0.0,0.0,353685.0,147219388327.0,447306775275.0,,91059044.0,200614732198.0,1385777568.0,2185490630.0,2181842303.0,74456286843.0,612432.0,198069646581.0,43344744.0,5371661860.0,21731.0,,
parmesan,gcc,0,1,vectorwise,18,q1 vectorwise,494.776,54739.19,0.0,0.0,353830.0,147407455108.0,447537051472.0,,90361569.0,200535329976.0,1389596196.0,2185045184.0,2181458194.0,74536400918.0,613354.0,198323705909.0,43218349.0,5328435266.0,21186.0,,
parmesan,gcc,0,1,hyper,18,q1 hyper,231.458,26150.66,0.0,0.0,349424.0,67998605224.0,274762964452.0,,51060247.0,133515682191.0,1101345002.0,2099849760.0,2095060467.0,40096246240.0,250346.0,128338810287.0,36878922.0,2850858830.0,15840.0,,
parmesan,clang,0,1,hyper,19,q1 hyper,221.411,26378.9,0.0,0.0,349439.0,69315865169.0,276296646065.0,,51133754.0,133523494943.0,1122645726.0,2054533043.0,2066425737.0,39605312499.0,237958.0,134159357302.0,38510063.0,2928062994.0,11734.0,,
parmesan,clang,0,1,vectorwise,19,q1 vectorwise,468.542,54736.01,0.0,0.0,357698.0,148053452491.0,448606745819.0,,90536811.0,200566275177.0,1380438503.0,2185270295.0,2181350150.0,74228641227.0,519212.0,194406422735.0,43361328.0,5256752191.0,18331.0,,
parmesan,gcc,0,1,vectorwise,19,q1 vectorwise,468.685,54775.92,0.0,0.0,357806.0,148138890079.0,448659417743.0,,90428288.0,200574552351.0,1385594242.0,2184006281.0,2180264808.0,74212176992.0,553646.0,194337138751.0,42860353.0,5235764001.0,21713.0,,
parmesan,gcc,0,1,hyper,19,q1 hyper,219.554,26220.54,0.0,0.0,349485.0,68808132123.0,276446235396.0,,51082752.0,130688967494.0,1106145411.0,2065876557.0,2078308842.0,39758678923.0,270310.0,133877025130.0,38646125.0,2916998656.0,11660.0,,
parmesan,clang,0,1,vectorwise,20,q1 vectorwise,445.489,54793.51,0.0,0.0,356445.0,146730120077.0,446178438681.0,,90351372.0,200843064361.0,1392686526.0,2188265498.0,2182943035.0,74140723985.0,637891.0,198519682415.0,43097003.0,5333043146.0,27547.0,,
parmesan,clang,0,1,hyper,20,q1 hyper,209.561,26448.79,0.0,0.0,349587.0,66123434175.0,278845499477.0,,50898715.0,134325661606.0,1125755955.0,2100511259.0,2093359366.0,39964421603.0,217211.0,128069148770.0,35794870.0,2704030221.0,1460.0,,
parmesan,gcc,0,1,hyper,20,q1 hyper,209.147,26387.66,0.0,0.0,349576.0,68408068498.0,278968303190.0,,50851775.0,134256653075.0,1166761203.0,2097817026.0,2089713061.0,40006240611.0,201608.0,129897773776.0,35683732.0,2709086846.0,11626.0,,
parmesan,gcc,0,1,vectorwise,20,q1 vectorwise,444.945,54729.01,0.0,0.0,356320.0,145626576764.0,444205927524.0,,89847598.0,200236186296.0,1380449826.0,2189051261.0,2183852778.0,74296394769.0,641921.0,200314023215.0,43883379.0,5328076059.0,27043.0,,
parmesan,clang,0,1,vectorwise,21,q1 vectorwise,424.498,54791.98,0.0,0.0,355952.0,147878357167.0,447891817407.0,,90461978.0,200572914773.0,1349183152.0,2133808679.0,2140034267.0,73010916240.0,672229.0,201591403696.0,43730548.0,5427008965.0,37544.0,,
parmesan,clang,0,1,hyper,21,q1 hyper,199.091,26212.37,0.0,0.0,349605.0,69094985103.0,276819581116.0,,50978902.0,133495626151.0,1113499336.0,2106445259.0,1951358856.0,37330419145.0,151027.0,127186857730.0,37258672.0,2957276344.0,52631.0,,
parmesan,gcc,0,1,hyper,21,q1 hyper,198.798,26210.12,0.0,0.0,349644.0,69055536989.0,276734650566.0,,50969789.0,133557698537.0,1103553594.0,2108284053.0,1954726270.0,37384200962.0,136848.0,127287081358.0,37248856.0,2950163512.0,51334.0,,
parmesan,gcc,0,1,vectorwise,21,q1 vectorwise,424.396,54804.84,0.0,0.0,356162.0,147919403025.0,448115135528.0,,90379856.0,200532535811.0,1351660899.0,2138359807.0,2145161120.0,73240103872.0,678867.0,201581631010.0,43661044.0,5397267262.0,35067.0,,
parmesan,clang,0,1,hyper,22,q1 hyper,192.199,26652.09,0.0,0.0,349688.0,70351499716.0,282516169237.0,,50548997.0,133752749143.0,1251936154.0,1997806233.0,2009631803.0,39019707759.0,184214.0,133249054727.0,39098644.0,2966985715.0,12711.0,,
parmesan,clang,0,1,vectorwise,22,q1 vectorwise,404.709,54871.88,0.0,0.0,359370.0,148437281430.0,451645637341.0,,90422964.0,200637731067.0,1373945143.0,2176592644.0,2172901595.0,74468823931.0,760477.0,199616158875.0,43246612.0,5425206141.0,26965.0,,
parmesan,gcc,0,1,vectorwise,22,q1 vectorwise,405.332,54821.08,0.0,0.0,359449.0,148297934201.0,448759996233.0,,90765428.0,200515043341.0,1384204798.0,2183622571.0,2178410999.0,74618835743.0,757368.0,199056089784.0,43078355.0,5389311776.0,25276.0,,
parmesan,gcc,0,1,hyper,22,q1 hyper,189.768,26190.99,0.0,0.0,349655.0,69087760027.0,277451116280.0,,51062149.0,134029683750.0,1143614667.0,2032282637.0,2043852243.0,39067417681.0,189478.0,132972002003.0,38750734.0,2941457329.0,14157.0,,
parmesan,clang,0,1,hyper,23,q1 hyper,182.656,26342.09,0.0,0.0,349749.0,67347895861.0,271607338838.0,,50531911.0,133616091525.0,1180789533.0,2110827635.0,2095820406.0,39643386528.0,468934.0,134384550588.0,38449966.0,2830148726.0,7427.0,,
parmesan,clang,0,1,vectorwise,23,q1 vectorwise,387.406,54969.05,0.0,0.0,362001.0,143470346399.0,437953730561.0,,87989097.0,196853474968.0,1358092371.0,2174916764.0,2171163461.0,74585080867.0,632851.0,201853941848.0,43456682.0,5407734200.0,975.0,,
parmesan,gcc,0,1,vectorwise,23,q1 vectorwise,387.728,54891.53,0.0,0.0,361799.0,143761166175.0,437567203624.0,,88637991.0,197548646351.0,1360814575.0,2178425164.0,2177711038.0,74568756198.0,545654.0,201654928434.0,43385925.0,5413611359.0,2127.0,,
parmesan,gcc,0,1,hyper,23,q1 hyper,182.255,26273.23,0.0,0.0,349757.0,67933692469.0,274463201422.0,,50974478.0,134184939902.0,1121445274.0,2098055925.0,2086943968.0,39482943765.0,303749.0,134806679245.0,36272484.0,2836021879.0,7379.0,,
parmesan,clang,0,1,hyper,24,q1 hyper,176.635,26572.57,0.0,0.0,349779.0,70240793982.0,281108923100.0,,51308924.0,134167052218.0,1241794412.0,2089756199.0,2072899856.0,39322055831.0,289563.0,129725926185.0,37013384.0,2898203109.0,7335.0,,
parmesan,clang,0,1,vectorwise,24,q1 vectorwise,371.58,54851.56,0.0,0.0,358862.0,147756496488.0,446854652808.0,,90776001.0,200637579397.0,1378241462.0,2193630884.0,2147412480.0,73640902430.0,430028.0,200164094493.0,43772573.0,5423493255.0,24795.0,,
parmesan,gcc,0,1,vectorwise,24,q1 vectorwise,371.553,54855.33,0.0,0.0,358991.0,147760933824.0,447035767391.0,,90271423.0,200597922232.0,1384698348.0,2189864312.0,2165297148.0,73649635081.0,445974.0,200332574386.0,43727408.0,5421182119.0,23977.0,,
parmesan,gcc,0,1,hyper,24,q1 hyper,174.624,26461.4,0.0,0.0,349836.0,70384180518.0,286192806813.0,,50863398.0,133817919195.0,1092719513.0,2063654881.0,2052265788.0,39575640263.0,242569.0,131295483323.0,37523071.0,2933958712.0,6646.0,,
parmesan,clang,0,1,hyper,25,q1 hyper,169.514,26569.15,0.0,0.0,349900.0,69916321320.0,276564245045.0,,48384805.0,122781227946.0,1165205527.0,1931797331.0,1946469667.0,40145849275.0,244498.0,135266886864.0,38516106.0,2957489039.0,37067.0,,
parmesan,clang,0,1,vectorwise,25,q1 vectorwise,356.952,54864.07,0.0,0.0,360051.0,143715873872.0,447734555831.0,,90602305.0,201210919665.0,1387988069.0,2188154342.0,2182386097.0,74200132916.0,761888.0,197878247080.0,41878094.0,5141200919.0,41852.0,,
parmesan,gcc,0,1,vectorwise,25,q1 vectorwise,357.209,55327.31,0.0,0.0,360178.0,143433585455.0,446032664485.0,,88293610.0,201625270453.0,1367387585.0,2163308607.0,2158029519.0,75441028214.0,786597.0,202347078700.0,43742626.0,5218899068.0,32537.0,,
parmesan,gcc,0,1,hyper,25,q1 hyper,167.825,26359.08,0.0,0.0,349888.0,69355262224.0,276221758017.0,,50802840.0,128333756145.0,1023650536.0,1912941746.0,1927269579.0,39374000221.0,231055.0,135593882644.0,38076236.0,2965753817.0,34375.0,,
